Index,Body
2383,small company developer support member team participating agile development practice past year agile scrum method truly adopted simply use backlog look team use sprint meeting update working past day working right seeing yield methodology brought scrum master improve team cooperation effectiveness far team assigning effort item measuring approximate work team stuck method work let know progress update lack team work approaching backlog item task team approach monolithic approach idea backlog item approached developer want transform culture pervasive team best way scrum master team work developer sorry clear need detail happy information
2384,working project act kind producer manager called project videogame working easy dead genre trying revive genre relatively simple know tho plan artist board soon time come important main problem information problem special environment project non professional seen coming ^^ moment non payed project member project paid soon making profit know paid cause know sell project month main problem feel like author interested thing old friend reason problem said help work maybe better finding started time briefing talk day later want start project need discus important know find time moment make wonder find bit interested thing nonsense special environment wo work question tip manage team environment bos want look like tyrant trying force people working project end paid think ask way harsh
2385,crash project term frequently pmp material mean exactly related compressing schedule
2386,figured good method facilitating asynchronous time place remote design sprint typical design sprint happens synchronously time place person different stakeholder trying figure good way happen remotely tool like mural reason ask asynchronously remotely stakeholder location schedule flexible block entire week design sprint thinking creating mural board initial set question answered individually stakeholder session time boxed day let stakeholder come point time day contribute continue couple week session marking stage design sprint unpack sketch decide prototype test
2387,managing project company task assigned employee tracked use telephone communication mail face face communication fail efficiently communicate track progress task decided download software make able communicate share file folder list task assign task people track progress task company allow share file internet searching lan network project management software thing free paid
2388,project customer trying include vendor selection fixed cost project scope fixed cost project clearly say work external system provides xyz functionality project includes finding said external system vendor fair explicitly exclude fact scope document defines draft api exist external system state actual api differ extent comfortable variability process finding vendor system subproject significant entire project suggestion typically worded scope refined adjusted cost extra hour concerned extra calendar time entirely push project red
2389,interview company use scrum like rough estimate release planning asked release planning accurate want percent deviation plan suggested following gather requirement filter requirement create scope decompose scope noun deliverable item wb structure decompose noun verb work need implement noun estimate verb considering risk find verb dependency timeline gant diagram calculate release date complicated initial story mapping look like heavy waterfall style agile style understand agile philosophy accuracy estimation final release date high priority responding change following plan going planning list scrum implicitly step initial release planning step sprint planning suggested step release planning explicitly despite fact way figured improve accuracy release plan like opinion kind planning conform ideology agile understand accurate estimate demand effort believe miracle high quality estimation effort maybe suggest way tip release planning accurate complicated heavy waterfall style planning
2390,background web platform product team contributing usually team work feature delivers feature maintains million end user adoption feature take week period new user share feedback let feature average actively supported setup generates dozen tiny improvement gathered time team focused new feature end user feedback provided dt development team work scrum jira agile pjm tool issue product owner selects valuable piece feedback turn pbis result lot small pbis turn make backlog hard maintain problem statement good way backlog maintainable po useful dt
2391,defining strategy given project based mission deliver defined goal meet organization vision employ philosophy agility quality attribute speed value etc trodden path good example way asking question possibly use agile define strategy given project
2392,understand governance strategic task defining organization goal direction limitation accountability sound similar strategy people refer differently difference project governance strategy thing simply semantics
2393,metric influence help estimation interested applying metric github project issue history based fast solved previous issue github data metric compute help estimation note interested automatic effort estimation method metric potentially help use metric come automatic effort estimation method scope question suggestion github specific metric search+filters api great metric simple simple mean return numeric value higher lower mean active project relative baseline actually needing working machine learning project supposed estimate effort hour based metric interested activity want easy compute github data reference want focus easy computation quality hope metric data use fill quality happy use metric came long reference point research practice degree success
2394,new project management reading sprint scrum agile mentioned explain sprint suggest good reference understand execute
2395,scheduling construction project task rely external factor determine start date specific example project cross river construction said river crossing start period low flow period happen large window time schedule overall project crew working area remain unaffected relationship picking arbitrary date maintain schedule logic client requesting task notice proceed final completion predecessor successor constrained date provide
2396,way set resource availability task project specific time period project example resource allocated task start dec end jan resource work task start dec end jan overlap period dec jan resource available project availability task period overlap resource available respective task way define type resource availability task date range aware alternative manually applying contouring day day level time frame tedious multiple resource scenario thanks
2397,client belief copy data new database kind migration tool change app database configuration file sure part app continue work bet significant number sql error thrown new database tried explain insists sql database work way unfortunately time prove setting new database migrating data furthermore client intends spend developer time asking advice support attempt tell tactfully likely fail
2398,digital function organization attempting adopt agile methodology causing issue perceived increased cost diligence performed initial estimate example vendor pitched platform let pick arbitrary figure technology team engaged evaluate implementation discovered deployment entail hardware installation integration support maintenance security etc cost blown initial estimate resulted management questioning role technology team play time project engages team cost increase significantly clearly lack understanding requirement generally vendor include account additional requirement sits outside remit technology team invested significant time effort describing increased cost managerial perspective issue lie operational efficiency team lack practice capturing requirement understanding scope additional cost etc way bridge gap
2399,consider following scenario straight pmp exam prep book project manager large software implementation project finished project status meeting meeting learned crucial piece software team creating faulty news cause project late month likely cost additional fee developer time step project manager fire project team member responsible mistake create change request immediate correction software complete root cause analysis determine problem occurred present news management customer solution resolve problem instinct step preform root cause analysis exam prep book state following number correct project manager need share news management customer solution fix problem project manager management problem solution number incorrect root cause analysis helpful completed informing management customer trouble understanding line reasoning question fold real world life environment pmp exam appropriate come solution root cause analysis supposed determine solution figured root cause problem pmp exam book presenting accurate pmp exam author consider able present solution root cause analysis
2400,long story short project managing managing house team developer developer pm disliked commercial programming term performance pm getting lot praise upper management deliver software project timely manner house team backbiting found upper management upset hand face patronising acting job better day day job consists sprint planning user story coaching involved software architecture report sprint retrospective user acceptance testing managing resources/ stakeholder expectation etc etc come day day running project believe giving team ownership supporting guiding best way handle situation starting pretty feel like bit punch bag management
2401,trying set mind pmi rail absolutely order project manager asked prepare project charter prior step planning process group like collecting requirement defining scope estimating cost understand project charter necessary high level outline project going deep detail reality past experience write budget delivery time month stay calculator feature defined project charter scope statement appear calculator artificial intelligence explains interactively illustration going wrong start defining project project charter planning stage thanks
2402,trying scrum project usually recommended scrum guide week sprint release client asking sprint week release friday member team able complete assigned task technical challenge leave case sprint completed miss timeline handle escalation scenario sprint better managed
2403,pmbok methodology explain difference project charter project scope stakeholder unfamiliar pm process
2404,best pm non technical pm ba developer extremely detail oriented excellent communication scrum certified etc placing highest valued fortune customer raised objection technical able fill slack time development time reality think slack fact technical pm bit worrisome large project want sure pm take care team member communication customer take hour day email meeting handle objection potential pm idleness stemming lack technical ability
2405,friend project manager external product facing interesting dilemma asked question thought post wider audience current project depends internal resource different group asking resource capacity resource best handle situation
2406,practicing agile leading new team new organization work perfectly fine task got pulled team process set team followed team problem challenge faced recently new task required different department normally manager issued ticket team assigning team mate keeping loop sense communicate straight team mate like process broken little confuse align team proper process department talk bos process apply follow
2407,generally responsibility assignment matrix rasci developed start project current environment rasci developed handover operational team counter intuitive rasci developed intended highlight support model going forward perspective rasci encompasses aspect project including handover rasci developed
2408,wonder seek increase engagement project team challenge finding way methodology principle open characteristic pro activity leadership teamwork project team member order increase engagement employee participant pmo peculiarity challenge pmo team plan collaboratively university extension project perform sequential parallel project team basically undergraduate student volunteer teacher
2409,work team consists different group researcher analyst database analyst developer load data project time year following consistent long process involves handoff group currently use jira track process development improvement bug change request etc use agile methodology developer use methodology waterfall probably closer like begin jira track progress process example following step pull data database db analyst create initial data product developer run analysis analyst check data product researcher check analysis researcher package analysis result deliver developer upload analysis result database db analyst happen sequentially leading typically need step time period current plan create single task effectively story think properly story understand story properly create subtasks story task task sure task start assigned eventual er start assigned project owner pm pm ideal setup assigned ready worked considering setting subtask blocker subtask look like necessarily good idea based ui show open link related section blocker block task best practice way doable jira sound like kanban closer honestly think major shift like accomplished meaningful way need jira add doable think use stock jira custom template lot
2410,requirement gathering learnt outline objective project identify stakeholder stakeholder need user need topic question project objective stakeholder need thing example website responsive design attract new recruit easy maintain content gather feedback user
2411,intuitive question people know repeat information report executive summary write happened week report let piece information valid week report assumed read report
2412,reading product backlog grooming development team meet pm product owner team prioritizes feature ultimately product owner decides priority need worked released business analyst come thought ba job build relationship business stakeholder learn vision learn need customer work business determine priority requirement clarify thanks
2413,medium sized geographically dispersed development team jira task management git repository developer generally focused primary development project time time divided project smaller thing development oriented development related work primary project track task jira non development work problem want track development time task project ideally jira ticket unsuccessful getting ground jira built time tracking problem run time tracking jira task manual frequent reminder developer forget ignore tracking tracking record useless tend good start like groove reminder diminish time tracking start fall goal find solution allows track development time task need lot manual action developer ideally big brothery want good work environment want time spent data able successfully find solution problem love hear edit reason wanting revolve idea ensuring engineer unblocked working effectively engineer getting interruption project output main project suffering identify team engineer lower expected productivity getting sufficient instruction getting interruption misunderstanding task early diagnostic problem seeing engineer completing hour task hour average booking hour project time week instead appropriate number engineer project course trying count keystroke line code produced etc trying help engineer high performance want note use timesheets solution tried past know experience frustration limitation approach
2414,background currently working product external facing verge launch product want gear facing worst situation external product launch question let assume launched product email management wrong product launched production best way handle situation like
2415,shown picture task calculate direct indirect cost table calculation according direct costing standard costing abc method calculation red realized array problem indirect cost written task properly according data table recently asked economic se advised post issue appreciate sort help indirect cost
2416,new project management till followed standard textbook principle building particular product situation need perform capacity planning particular product product external facing product public expected raise good demand plan launch phased manner different market clueless plan capacity understand term capacity planning need look cpu memory storage network connection estimate demand product concretize lead helpful
2417,inherited line project believe created project year ago project different people working period complete neglect funky thing going instance select critical task check box gantt chart format tab error stating argument value valid verify value spelled correctly type argument expects found lot task leading trailing space edit task think artifact copy paste maybe converting proj2007 thing meeting stakeholder updating duration predecessor finish date appear inline project team expectation save check sharepoint open finish date changed lot resource overallocated project manage task duration project asks want assign resource reschedule tell leave resource overallocated project changing duration start finish date ground primary question think easier fix problem start fresh project schedule
2418,right team member moan bad performance team member retrospective understanding team look team performance single member performance scrum described case team member came week holiday said performance certain project supported team member unexpectedly low request case constructive criticism scrum master intervene imho rule scrum good reason
2419,understand use constraint project good use case constraint sense
2420,methodology named dsdm dsdm atern colleague writing report agile methodology lot conflicting information available latest specification find make reference atern dsdm consortium website say dsdm atern source welcomed
2421,best group metric use measure pmo value service organization use org talking soft metric like repeat customer showing defined process helped sale service etc
2422,hard time distinguishing purpose feature list product roadmap release schedule task management project plan etc mobile app concept trello evernote manage idea task started shipping release ui getting complex etc tried onboarding friend help development completely lost planning work bug priority etc feel like making way harder need probably missed core pm concept resource great thanks
2423,struggle interpretation model visualization say project live middle triangle wonder mean project moderate quality deliver moderate time moderate cost efficient possibly better focusing considered utopia addition side vertex closer vertex better given constraint work side think probably view quality area triangle shown figure point represents combination
2424,managing team people working different tech project given hard time development team project know project depth technically member starting undermine authority despite aware managing project writing low level code brought lot technical value term overall direction project working organising software architect project manager deal find developer particular habit undermine know technicality
2425,scrum agile team use metric estimate testing effort
2426,looking slightly different project management set project performed particular timeline looking individual investigative case project research misconduct accusation usually researcher accused wrong accusation received office follows stepwise process investigation process mapped viewed type flowchart lot branch information recorded step year process fairly ad hoc manner people like introduce systematic process record step taken step create metric based need able attach file specifically step memo evidence email looked type project management software focus linear process branching process specific date step finish want case timeline different looked case management system law lack process centric list case bit record case note suggestion option explore create system
2427,pro con daily standups interested personal opinion positive daily standups negative find
2428,disagreement customer development team fact software development company team devs qa customer startup growing fast making money successfully adapted workflow began cto choose pivotal tracker scrum board software work fine constantly adding label prioritize item think sense scrum approach sorting order backlog current pivotal feature need certain story addressed worked need sure estimated defined backlog developer pick story lifo basis motivation tell customer prioritize story simple useless priority change time sprint sane way prioritizing story new one want worked maybe older story week priority priority plus constant changing requirement harder bother opinion go idea backlog planning sprint rookie scrum wondering kind prioritization common practice real world
2429,effort calculated person month cocomo model include effort requirement analysis calculating effort required design code testing
2430,let apologize writing mistake english native language currently working ux company end dev problem trying understand agile development properly let context work environment making question actual company focused mainly ux consulting creating information architecture designing application creating view old fashioned way creating static page lot contextual cs jquery instead creating modular system allows create page view given client party company integrate code client end currently got developer design different view page different state code lately got client wanted project uis created angular hire modernize workflow experience creating angularjs application component based philosophy problem worked scrum agile environment thinking implementing struggle concept user story case mean detached product design process got file need transformed web application sure define user story development team creating component task map user story isolated process coding ui starting agile development sure flaw spotted thought process hope understand trying thank advance
2431,team process planning legacy erp replacing project unfortunately custom decision taken develop legacy system lot inbound integration point sale backoffice outbound finance etc understand develop system hard plan estimate implementation integration deployment phase example risky plan live weekend 24/7 business probably need legacy new system working parallel inbound client mobile apps connect kind experience approach grateful wb example
2432,specifically consider getting capm completing graduate study wait experience pmp
2433,currently developing house solution trouble main stake holder cultivating idea go leading endless change request currently managing project agile scrum way tried lessen change request agreeing deliverable version previously case helped problem stake holder agrees feature developed way later realises better way tell team want way instead left dev team extremely frustrated lead lost development time rewriting old code behave differently best way prevent
2434,definition underlying infrastructure context question relates fabric support service rendered given collection system example cabling power cooling etc currently clear project responsible defining simply subscribes existing capability example given system deployed requires certain power project simply communicate need expand existing requirement scope project far deliver system
2435,microsoft project schedule like overall task take resource resourcea resourceb fully loaded time resourcec support expect effort spread duration task |--------------task---------------| hr 5.6d |-------task implementation-------| hr resourcea[100 resourceb[100 |-------task support review-------| hr task work duration resource task hr task implementation hr resourcea resourceb task suuport review hr resoucec creating task resourcea resourceb straightforward create task resourcec fixed start stop task loading resourcec variable
2436,reasoning rule work package 8h bigger 80h work given number easy remember detailed argument number found explanation number
2437,want introduce scrum team kanban sure best approach good idea
2438,trying improve agile process team work currently kanban board necessarily effectively type task new project work development researching new tool etc issue arise bug issue arise blue need sort immediately unfortunately nature type work difficult follow prioritised backlog enforce wip limit etc idea improve edit issue higher priority project work team pause project work handle issue unrelated team thought second line support r&d new work unrelated
2439,team follows test driven development extreme programming complete user story testing write test trello card trello card write test api user story user want story related completed functionality time time constraint currently write trello card like sprint contains lot user story correct approach
2440,like collapse task swimlane aggregate lot item quickly force project long cause lose overview swimlanes containing item way set theme swimlane task swimlane title number
2441,principle agile manifesto simplicity art maximizing work essential exactly meant
2442,need add task wb gantt chart project number task kickoff meeting want fall heading project administration need general task project wb created general item
2443,end developer end developer want stack taking task specialty example end developer want end task team lead let sprint kind like way switching role overall development speed slower better way manage situation developer happy productivity
2444,worked stakeholder revelled known busiest man office elevator pitch seen best pitch benefit going agile waterfall word
2445,trying watch entire jira repo mesos find way email notification la github update closest got possible project admin
2446,product type user producer admin panel user consumer end user consumer able interact app producer able process consumer request admin panel let examine simple process ordering fine describe consumer story need map producer story add way solve issue add map different color actually multiple card instead producer like good idea mixing user type seen example like disturbs completely different map admin panel producer story described ideal solution like completely different product detached consumer app better approach situation want visualize process clutter maybe way add layer map divide user story
2447,definition relationship goal objective scope deliverable searching seeing conflicting overlapping definition term
2448,work small company people development team work new feature support maintenance task account project manager prioritise client ticket jira kanban board daily stand ups discus task hand progress blocker main frustration lack visibility allocating work developer lead issue developer frequently high demand result individual getting pulled project pm pm deadline reach pm pm aware priority sadly position split team team specialising development support customer account develop support maintain unrealistic plan developer schedule far advance mainly level complexity urgency ticket developer considerable time discussed internally creating high level schedule project work resource needed stuck progress maintenance support work make huge business seen tremendous benefit introduced pm methodology like kanban seen huge improvement customer satisfaction overall cycle time think need clearer way defining schedule giving team visibility advise think tackle gratefully received
2449,know entity sprint scrum know architecture nailed sprint principle work fine start prototype sprint gather feedback second sprint understand general customer requirement architecture stable project small max duration little bigger year involved person architecture large enterprise level project team participating believe start work preliminary coordination coordination basic architecture basic architecture need general requirement gathering rough analysis scrum provide special event activity like sprint second flow described look like waterfall agile shall complex project demand gather general requirement create architecture implementation best practice solve problem scrum
2450,learned class cost management project graphed curve low beginning high stay high idea graph stay high closure release project resource graph drop phase
2451,software development technology changing super fast learning new skill testing new tool indispensable schedule tight developer time learn affect company long run question allow developer spend time work day learn test new tool hour
2452,work consists number nearly identical project wondering create kind template microsoft project hopefully stupid question opened project time project fixed number sequential task leading final synchronisation key difference number initial thread join end start deadline date people individual task like create template set number thread create little gantt chart view start work assigning task note project integrate outlook list people send thing
2453,monitoring schedule right project complete duration looking different perspective earned schedule critical path finding result differ substantially know predictive model valid model produce exact result surprised degree difference schedule simple water fall duration based schedule constructed reasonably constraint free schedule orphaned work package work package decomposed duration greater reporting period way progress developed remaining work package critical path schedule showing day unfavorable finish variance earned schedule project showing business day late close estimate completion formula project likely month late work probabilistic know day late cp month late point range likely result surprised size variance prediction seen type discrepancy model simply sensitivity model model believe valid accurate thanks help
2454,spike story task estimate spike need understand add sprint time maximum
2455,let company project work developer needed minimum want break scrum team separate one time company kind thing consider trying particularly good online resource book consult found suggests scrum scrum stop so clearly required information scaling scrum large scale scrum big want small team maybe scrum master product owner project
2456,looking presentation list benefit value add project manager single project program management multiple related project looking wow need type response customer presentation available link material greatly appreciated mario cournoyer
2457,team established stable sort day day routine work scrum master
2458,exploring tfs portfolio management generally suggested lump team feature etc single project provide executive enterprise wide view work going moving single project lose flexibility source control like able wall developer ensure work certain application instance external developer permission work specific application guidance organization tfs portfolio management source control simultaneously
2459,noticed request proposal rfp include section called proposal evaluation criterion proposer evaluate focus hight point project
2460,working project early start column read exactly actual start column following team assignment task scheduling field understand early start fact earliest possibly start given constant work rate task possibly terminology wrong extensive link non referencing summary task offer explanation workaround
2461,tangent point contact prince2 itil prince2 product description a(n itil service design package state qualification complex term looking couple contact point web link white paper background prince2 practitioner certified currently reading itil foundation familiar practicality itil design level kind starting point helpful need write description service behave itil controlled environment
2462,wonder function project print gantt chart view resource issuing schedule print pdf complete schedule summary resource personal gantt view resource momentous pdf change need week maybe ui script needed control tedious need constant updating
2463,trying load resource task project standard task specific duration start end task like assign multiple resource work fixed number hour distributed evenly day assigned task example task named task duration working day standard calendar individual estimated hour work task second individual estimated hour work individual estimated hour work like resource allocate hour evenly working day understand task set fixed duration problem occurs load resource task individual need work hour assign work day working calendar work hour day change work duration resource assignment information display day project recalculates work hour resource day hour day try reconfigure utilization resource match want resource work project later change assignment hour later adjust resource utilization work hour duration etc fix information project recalculating work resource adjust assignment task think root problem know set different utilization target resource time thanks help
2464,asked consultant help insurance company upgrade legacy information management system reliable user friendly year work consultation firm asked evaluate project review financial cost set plan management team consultant documentation need project task need start briefed document reviewing company legacy system work based meeting people involved new business help appreciated
2465,user story describes user want achieve use trello epic create home page story trello card user want sliding image page task checklist list technical task needed achieve story image integrate jquery plugin carousel import image carousel test problem stage development team got skill story need learn html jquery cs currently handle create trello card learning phase checklist learn html learn cs learn jquery user story sprint handle
2466,word project like tool team people hired unassigned people mark bench team looking placeholder team future hire quarter plan possible project assignment confused best bench want mix hired people current project assignment edit float.com department thanks
2467,slightly confused understanding epic create web site shirt size story create home page point task create button home page red hour weighting correct
2468,testing kanban research team think okay visualized workflow set limit task kanban action reference set initial wip limit task member team time work time question change limit middle week preferable retrospective
2469,currently managing software product scrum agile problem unable create accurate burn chart backlog keep updated new item example typical scenario tends happen item begun sprint discovered item underestimated leading item split backlog item leading burn chart inaccurate handle situation
2470,work startup environment people working project manager task business analyst sale etc gradually company grows allows hire people support team time core responsibility task delegate rest delegate soon possible edited general right answer management question like seeking answer way answer describe approach problem answer tell real story experience result
2471,team developer development manager tech lead project manager project going priority day hour long called scrum go single item sprint provide update team project discussed related unique application interact small scale management requires team stay listen addition hour long time week project discussed providing update item advise appropriate alternative sure sprint item fall wayside long meeting real lack transparency overall long term vision product addition advise making sure team understands different project going mandated support call decision
2472,scenario developer estimate hour task urgency task developer unavailability far experienced developer assigned project new developer take hour complete task question risk stakeholder management perspective pm mitigate communicate issue senior management realizing initial estimate going blown water given original developer estimate track excess hour applied project a. hour eaten management team company investment mean project budget sheet hour track misleading telling true story b. hour reflected project budget sheet let issue log tell story seen smaller agency developer go initial estimate pay happen issue developer fault example misunderstood portion requirement seeking clarification scenario developer told clock time project spend additional time needed task similar misleading documented issue log lesson learned prevent future repeat error
2473,certain project reconcile weekly basis determine performance estimate adhered issue week team face new issue accounted risk planning issue obviously hit project line example assume project hour need completed week simplicity sake hour week challenge outlined below:- week hour spent issue xyz surfaced cost hour week hour spent issue abc surfaced cost hour current status week hour hour additional issue told great issue logged detail instill confidence pm ability new issue going surface week affect budget issue mitigation strategy reactive proactive question given week best way handle new issue pop
2474,shift kanban process expect way wip underway organization day kanban board reflects current state week work wip appropriate limit concerned undermine impact team new process feel like current process sift wip pull bunch backlog feel like right approach qa require skip development come board addition confusing finally thought blended approach create temporary mid process backlog qa pull excess qa wip excess development wip going main backlog completely solve problem bulk new process looking clean course accompanied cease new development work adding mid process backlog suppose new development started backlog cleared best practice and/or better idea
2475,love hear experienced agilists consideration use method live country like holiday set sprint size based continued calendar day start thursday week sprint week duration consider available workday example holiday friday sprint finish thursday following sprint start friday shifting weekday setup tried booth
2476,work small digital agency lot ux work lot planning research culture approach development project moved recent year make use lot agile aspect albeit perfect approach rooted flexible adaptive changing project scope far scoping costing project nt head typically project quoted upfront fixed price basis based estimate involve experience true scope requirement feature project truly come light user research persona establish goal inform scope project type user story added backlog cost obviously lot work involved point need paid mind better way quote project eg order accurate ultimately come estimating upfront truly know later mind project inevitable change scope develops minor grow leg agile approach sprint backlog story etc make easier identify scope change happening curious deal term identifying thing going cost letting client know cost higher example alternative upfront fixed costing like open ended costing approach client actually point agile scope grow adapt development point view lot free work
2477,trying head story point scrum methodology starting point following following article team shirt size big approach approach quantify time user story day maximum day maximum day maximum good approach
2478,framework pmbok framework related pmbok
2479,forgive belong thought appropriate pm programmer use risk assessment work software development life cycle matrix impact referred severity versus likelihood establish absolute risk level impact severity mean happened absolutely impact missed asked colleague able come meaningful answer point defining risk impact surely risk happen business risk assessment
2480,best practice strategy dealing team member repeatedly ignores email phone call commit new estimated completion date specific task
2481,pursuing pmp certification year pm experience started contact hour training pmp beginning course instructor mentioned join pmi pmp practice exam available membership occurred pmp practice exam pre assessment help know area need study sure disadvantage approach pmi provides single practice exam like save studying judge ability proceed real exam taken use result seen answer prior exam attempt
2482,trouble differentiating user story acceptance criterion example saw state user story user library catalogue want advanced search option page quickly easily refine search acceptance criterion limit search format type delineate search date range limit search publisher information title author subject place publisher number understand item acceptance criterion opposed user story right acceptance criterion user story user library catalogue limit search publisher information title author subject place publisher number
2483,activity sf relationship day lag activity j. start tuesday morning day long day long begin calculate date
2484,working lot team different phase testing devised standardized process accessibility testing different team process new software application upgrade enhancement problem deciding estimate accessibility testing incorporating standard accessibility testing process team leader
2485,difference tdd test driven development bdd behavior driven development atdd acceptance test driven development layer(s lie associated tool understand tdd unit testing layer junit jasmine bdd cucumber tool layer integration bdd cucumber tool selenium tool layer e2e end end atdd
2486,new confused sorry question fit suitable application like foursquare yelp focus entirely feedback user world instead user specific organization main stakeholder software methodology use main stakeholder user instead management organization thanks
2487,helping agile software consulting company create workflow customer goal provide customer agile way approving feature story developed accepting delivered consultant user story internal system tfs granular appropriate surfacing customer fact customer able approve reject feature level item able directly view edit story assigned developer experience trying manage separate concern team foundation server visual studio online configure considering separate area team customer separate team project
2488,fresh graduate bachelor degree mechanical engineering currently working jr mechanical engineer mep project wanted course management confused mba pmp
2489,allow freelancer clone entire repository work code safe feel like giving complete stranger access entire code base basically use tool git project management facilitate development entire web app completely open
2490,work organization hire professional temporary contract length particular project working moment contract usually fixed rate day situation creates incentive contractor sabotage schedule project project take longer complete lengthen contract appear behavior going technique common appears raising issue concern actually bogus making mountain molehill cause wasted time concern addressed difficult manager know outset issue raised worth investigation case honestly raised concern turned problem difficult know sure single instance contractor sabotaging clear overall statistic practice go happens economy contractor wo find job question internal control adopted help deal behavior aware incentive scheme contract term replace fixed rate day worked dealing problem
2491,line main qualm acmp membership order magnitude smaller pmi sure credible question change management certification valuable based demand today potential demand foreseeable future
2492,free onedrive account hotmail account use word excel type document need create microsoft project document gantt chart click new menu item option create microsoft project file option microsoft project free onedrive account
2493,hard time finding information people looking cert developer opportunity cert free paid classroom time value certification developer immediate plan project management
2494,scrum project desirable know definition actual undone work potentially shippable definition undone work way deal dod different level dod sprint release example resource automation knowledge necessary regression test story feature decide sprint release knowing risky question track pbl dod task possibility simplified dod burndown story knowing fully pbl story transition related way map flow jira agile thank
2495,currently team us jira manage agile project jira work alright major limitation goal backlog story card able organize multiple public private board instance feature board public user watch feature worked public roadmap private roadmap goal transparent customer better organize task exist multiple board simultaniously jira tell impossible share story multiple board need public facing board share roadmap feature client started look trello like tool including trello kantree pintask feature needed trello kantree public board easily share card board kantree great feature card board like epic pintask share card mirroring feature need trello like tool great managing backlog ui simplified make hard parse long list story bring feel best manage process provide customer date information product development process need tool support following ability manage backlog story tied scrum board ability story exist multiple board multiple workflow ability allow board public customer track progress valuable feature nice good support sub task story ability organize nicely epic spent week trying find best way luck hoping people experience variety tool offer advice thanks
