Index,question,PMBOK_Area_1,PMBOK_Area_2,PMBOK_Area_3,ProcessGroup,Technical vs Managerial,Knowledge vs Scenario
3180,"How do handle adhoc work during a sprint from pressing customers I intend to introduce sprints to my company, fairly new to it myself. Not sure if it's appropriate for my current situation, we have several on going projects, all of them are ERP scale size and most of them I would say are nearing completion(Ready to deliver). However during this time, there are a few customers whom we have no choice but set them as priorities so as bugs are still present hence if they discover issues with the system, they will contact us and we will have the team to sort it out asap. For now, this is the current practice. At such, if agile is introduced and we start using sprint, what can be done for add-hoc / urgent / pushy customers that requires almost immediate attention. Problem is the company is lacking in manpower, only 3 devs in total and there's no dedicated testers around, hence till date, there will always be bugs lying around and customers will keep coming back. I understand that once a sprint starts, there shouldn't be any changes made to it. Any advices?",sta,sco,-,e,1,0
3343,"Project manager in scrum and communicating with the customer In my current project I'm very confused about my role and who I should go through in regards to getting information about requirements/stories and who I ask questions from. Project team: 1 x Project manager (this is the main role I'm confused with). Also acts as Scrum master 1 x Team lead developer 3 x Developers (I'm one of these) 1 x Tester NOTE: I don't think we have a project owner as such but if I had to guess I suppose it would be combination of our Project manager and the clients project manager. Project steps to date: Project manager met with the client to identify initially project scope Project manager and two developers met with the client to further discuss scope Project manager worked with client to identify stories and prioritization Project manager discussed stories with development and asked for estimation The PM needed this as the client needed a quote for the work Development team estimated stories but also had questions which Project manager took back to client (This occurred a couple of times) Project manager and development lead met with client a few times to discuss work/questions as well as future work. Rest of team members started development work. Team lead was stuck on other projects for first sprint only attending client facing meetings. Team lead decided which stories each developer would do and assigned them at the first scrum. After assignment of tasks developers started developing Towards the end of the sprint the tester started working on Acceptance criteria (tester did not work with programmers at the beginning on creating these which I thought strange?). On completion of a task the tester tests the story and assigns back to tester if not complete. This is the part as well I'm getting confused with especially: When a developer has a question about a user story they have gone back to the project manager who has then contacted the customer contact person directly We did not complete anything for the customer after the first sprint, and we are yet to start the next one. So my core questions are: There seems to be something wrong with our approach to agile here. But as I understand agile is all about being agile and favoring people over processes, maybe we are just flavoring it to suite our clients needs? Should developers contact the customer representative directly, or should we do it through our PM? This I have found hard because of things like ""questions lost in translation"" and ""time delay in getting answers"". It's a good point that one of our developers English (not saying they are not a good developer) is not that good so maybe this is the reason we have gone down that route?",comm,-,-,e,1,1
447,"(Hypothetical) During a Sprint Retrospective, the Development team proposes moving the Daily scrum to twice daily This hypothetical question is directly-inspired by this Question. During a Sprint Retrospective, the Development team proposes moving the Daily scrum to occur twice per day -- once in the morning and once in the afternoon. Not daily. Which two are the most appropriate responses for the Scrum Master? (Select two best answers) Coach the team on why the Daily Scrum is important as an opportunity to update the plan Learn why the Development Team wants this and work with them to improve the outcome of the daily Scrum Consider the request and decide on when the Daily Scrum should occur. Have the developers vote Acknowledge and support self-organizing team’s decision From a Scrum viewpoint, is this original question and this updated version essentially the same question and therefore have the same answer? My own thinking on the topic keeps vacillating so I'm hoping someone more experienced with the process can provide some guidance.",int,-,-,c,1,1
4335,"How to have the time a task would take and duration for a task in MS Project 2010? Within my projects I would like to have two different notions of time for a task: How many hours of actual work the task is expected to take A time frame for the task that the above hours should be done in My reasoning behind this is that the people working on these tasks should be very loosely managed and have a lot of independence. The general time frame will allow me to use the start date as a way to remind them of the tasks, and check in with them to make sure that they can meet the end date. I also figure the general time frame will allow me to leverage the convenience of auto scheduling. The actual work hours will make sure that I am not asking to much from any one person at a time (across multiple projects). Is there a more proper vocabulary for what I am describing here? How can I do this with MS Project 2010? Accepting the idea of loose management as a correct premise, is there anything beyond that from what I am describing that could be a major pitfall with this methodology.",sch,-,-,p,0,-1
4039,"Are PMs normally hated? I have had limited exposure to PMs, and the last one who was in her 60s used to always refer to her previous experiences with: ""At the end of the project, I was the most hated person, but the project got done."" She was a very experienced having done two SAP implementation, and many projects in the banking industry. She also mentioned that after a big project she'd leave on a good severance package until the next project. I am planning on moving more towards a PM role and currently as a tech lead my experience has been very positive maintaining very good relationships with other devs. I don't really want to lose that. Does it mean that moving towards a PM role will create more antagonisms with other devs? I've read parts of the Guide to the PMBOK, and the CompTIA Project+ manuals, but nowhere are mentioned the emerge of adverse relationships. Does becoming a PM mean that I will deteriorate my relationships with other devs, or am I drawing too much from one person?",res,-,-,NA,1,0
5262,"Which project management methodology would be best suited for research projects/environments? Which project management methodology would be best suited for a research project/environment? A research environment is different in many ways, including, for example: Some of the team members are probably not directly working for the PM - they may be professors, students or otherwise members of public institutions, participating in the project without directly working for the PM The project doesn't have a well defined end point or set of deliverables (""we think we can get 100 iPhones talking to each other and doing some cool stuff as a result, we'd like to experiment with them"") There may not be a well defined client for the project until partway through There are still the standard problems with allocating funding, resources, and keeping track of dependencies, made more complicated by additional reporting requirements",NA,-,-,NA,1,0
5295,"Where are opesource requirements analysis and design documentation   It's very easy to get the code of an opensource project, but it's different for the higher level artifacts. Is it because it's called open source, is it because I can't find it, or what? Is there a place where I can get some good projects to study?",sco,-,-,p,1,0
3842,"How should a Product Owner in a Scrum framework deal with client requests that differ from the PO's preferred UCD approach? Let's say that our Product Owner decides to take the path of User Centered Design (UCD). So, instead of looking at what the client wants he looks at what the end user wants. How do you convince the client that what he wants is not what the company, project, or users really need?",sta,-,-,e,1,0
2362,"How to deal with the similar deliverable in my impact map? I'm tasting specification by example in my project e-Travel. It's a simple project about travel expenses reimbursement. 1. The flow is simple： Employee does business travel by assignment. When he returns, the employee posts a claim for the expenses paid and subsidies. Then the accountant verifies the claim, and calculates the expenses and subsidies. Finally, the cashier pays to the employee by the signed claim from chief. 2. We get out two business goals and draw two impact maps: Employee gets expenses in 5 days. No fraudulence or mistake happens. 3. Now, I'm not sure the deliverable for the cashier. I think that the printing check or preparing fields by details of claim should also speed up the payment. So, should I repeat them in the first map or create a link? Otherwise, the duplicate is not necessary? I know the question is so naive. But as a newbie, I need more guidance. Thank you!",sco,-,-,m,1,1
1820,Do non-labour costs involve project overheads? I'm completing some coursework for my Software Project Management university module (studying Computer Science). We have to assemble a bid for a hypothetical software development project. I have calculated my daily charge-out rates for each of my employees (salary + overheads / number of working days) and calculated the cost of each work package. For the Bid Summary document we need to calculate the labour costs and non-labour costs for the entire project. I'm a bit stuck of what is included in each; are overheads included in non-labour costs or labour costs? It'd be good to have a reference as well so I can back up my calculations. Thank you!,cost,-,-,p,1,0
3436,"Does an organisation have to satisfy all key process areas to achieve a maturity level in CMMI? I have been learning about CMMI and one thing that I'd like to know, say for example an organisation satisfies some key process areas such as Requirements management, software quality assurance. What does the organisation need to include to achieve level 2 maturity.",int,-,-,e,1,0
3292,"How can we stop developers from working on stories that are not planned into the current sprint? ORIGINAL QUESTION We carefully plan out a sprint and decide which stories should be worked on however some developers are working on stuff outside of this planned work. This is undermining the whole process. What techniques can we use to encourage/enforce developers to stick to the planned stories? UPDATES: Having talked to the developers we know they are working on the stories because they find them interesting or consider them important. We have tried no techniques so far except asking/telling the developers not to. Developers are working on both planned and 'personal' stories in parallel. The planned stories are sometimes completed but often not. The non-planned stories being worked on are legitimate pieces of work, just ones not prioritised into the current sprint. The extra tasks being worked on are not refactoring. We consider refactoring to be part of a story, not a separate story in itself. http://xprogramming.com/articles/refactoring-not-on-the-backlog/ It is only a small number of developers in the team that are doing this, and they are a mixture of experienced and junior developers. We have contractors on the team however it is the permanent staff that are going off-piste. The team has been working together for a few years although there are some new members of the team. We recently moved from Kanban to Scrum. We are in our 2nd Sprint. The developers in question have a history of going off-piste. I guess the original question might have been better worded: ""In the Scrum methodology, what techniques can we use...?"" The issue has been raised in the retrospective and the problem persists",res,-,-,e,1,1
1039,"How to plan 2 week sprints, when each story completed will generate multiple stories I would like to know if anyone is in a similar situation working as part of a SCRUM team - The majority of our team are R&D staff, or academic research staff. We work in what might be called ""bleeding edge"" research areas, across multiple disciplines. Various (maybe all) members at some point have struggled with creating backlogs. The reason being is that because so much of what they do is unknown in advance, they generally end up doing a small piece of work, in which what must come next becomes clearer (multiple new stories per exploratory work), in which it makes sense to work on ""what comes next"" almost immediately i.e. not wait for the next 2 week sprint. Give that the work our team undertake is not repetative, with iterations of unknown work that are required to be worked on ""as they come"", does anyone have any tips on how to plan a backlog multiple sprints in advance. To give an example - one day a member of staff might run an experiment in a lab on some the effects of some radioactive material on a tissue sample, of which the results need to be intepretated. These stories can generally be written in advance no problem. But depending on the analysis, some theoretical work might need to be done to rethink the problem, further experiments might need to be done to confirm a finding (an easy win in terms of generating new stories), or altering the experiment format is necessary. It is often the case that new variables / methods / software / hardware / even the fundamental problem may change upon the initial anaylsis - which yes the intitial phase can happen over a mere few days so I'd say one fifth of the stories could be planned per sprint. It's beginning to get really tough committing to even a one week sprint as we can't commit a week's worth of user stories. Any suggestions would be great.",sch,-,-,p,1,1
2839,"What are defintions of Work Performance Data, Work Performance Information & Work Performance Reports, and their differences? For the PMBOK 5th Edition. Using following books for reference: - Head First PMP 3rd Edition, Jennifer Greene, PMP & Andrew Stellman, PMP - PMP Project Management Professional Exam Study Guide, Kim Heldman, PMP I am trying to understand the definitions of the following terms, and I'm also trying to understand the differences between each of the following terms, and how they relate to each other, and whether or not they overlap: -Work Performance Data -Work Performance Information -Work Performance Reports Could someone please correct me if I'm wrong? Work Performance Data seems to be raw data that we directly get from ""Direct and Manage Project Work Process"" like the following: % of work complete status of deliverables technical performance measurement actual start and finish date of activities ( schedule progress to date ) number of change requests number of defects cost incurred to date Is it correct to state that the Work Performance Data is raw data that basically tells us about work completed on the project to date? Work Performance Information seems to go a step further, and yields the following data: forecasts for completion dates associated with activities forecasts for budget ( cost ) Is it correct to state that the Work Performance Information is forecast data that is based on raw data like Work Performance Data? Work Performance Reports goes a step further by going to the giving more complex data like statistical data based on Work Performance Data and Work Performance Information, and Work Performance Reports could include status, reports, memos, updates, etc. Earned Value Calculations Variance Analysis Are the above definitions, and explanation of differences between terms correct?",qua,int,-,p,1,0
4882,"How to create project momentum and then to sustain it over a long period? I have been on a relatively small project team (2-3 members) and found it difficult to sustain project momentum. The initial momentum was easily created when everyone is enthusiastic and excited about the new project. However, once the initial phase is over, the momentum is difficult to sustain. I have found this to be the case for projects with a long delivery time (4-5years).",sch,-,-,p,1,1
2043,"How can I create filter by rank? I have a board with issues sorted by rank, I would like to create a filter with issues that are ""higher"" than particular issue. Example: I want to filter issues with rank >= SSP-4, so the result should be: SSP-3 SSP-8 SSP-4",NA,-,-,NA,1,0
4008,"How do you copy and paste a group of tasks from one MS Project (2010) to another MS Project (2010) without the start and end dates changing? I am trying to put together a programme plan, collaborating all of the individual project plans into one programme plan. Every time I copy and paste one of the project plans into my new programme plan (even if there is nothing else in the plan) all of the dates change. Without going through each task a rectifying the date change, there is not much that I can think to do. Removing automatic scheduling allows me to copy and paste the dates, but I need the format of the plan to stay the same, so automatic scheduling needs to be on.",sch,-,-,p,0,-1
3351,"How to divide work unevenly between resources in MS Project I'd like to divide a task between resources at different usage levels to get the shortest duration for the task. For Example Task A : 80 hrs work Resource 1: 100% Resource 2: 50% I want this to result in something like 7 days duration: Resource 1 = 54 hours, Resource 2 = 26 hours Instead... MS project divides the work evenly between the two resources and completes the task based on the slowest (least utilized) resource: 10 day with 40 hours each for resource 1 and 2. Thus resource 1 stops working once they've done their 40 hours How do I get MS project to keep all resources working at their maximum rate until a task is complete?",res,-,-,p,0,-1
282,What to do when your manager keeps adding This happens all the time. I have a project that has a deadline. Let's take an example we're the project is to be completed by the end of this month. Yet my manager who has not gone to any of the meetings or enolved in the project likes to add to the project and expects it to be done while keeping the deadline. This has typically meant that I work on those items on my own time. How do I handle this? I'm working more than 40 hours a week and he know this yet it seems like it doesn't matter. Any suggestions?,sco,sta,-,m,1,1
2251,"Agile Scrum Sprint Review (demo) and declined user stories I have a question about the Sprint review (demo) meeting from Scrum, which is held at the end of each sprint in combination with repositories and the git workflow. I know that unfinished work from the sprint will be placed back on the product backlog. This is very easy with the codebase because the unfinished work is in a separate feature branch. The question that I have is when the product owner declines a fully created user story which is already merged to the release branch. For example, when a user management page is created, there can be user stories about ""viewing all users"" and ""create a new user"". The ""create new user"" needs the overview because this is the only way to get there and be able to use it. So in development, the overview user story is developed and merged to the release branch, then the ""create new user"" user story is developed and also merged back to the release branch. So when the product owner declines the ""create new user"" user story: How can we remove this functionality alone from the release branch?",sco,-,-,p,1,1
1192,"Resource Planning Question Does anyone know how to plan one resource in Project 2010 when the touch time for that resource for the task such as reviewing something is only 5 hours, but I am obligated to have the object in a review cycle for 5 days? Review cycles may have multiple reviewers and will never total the 5 days.",res,-,-,p,0,-1
521,"Different methodologies for Project Management and Software Development In my current company, they are using Waterfall methodology in defining the gateways for new project approval and developing detailed timeline with completion date (gantt chart). For the development execution, we are using a hybrid software development process - DSDM / Scrum / Kanban - not defined exactly but using agile practices of each methodology. How effective this model will work - one for Project Management and one for Software Development?",NA,-,-,NA,1,1
2042,"Best solution for team managment   We are using three tools for handle our jobs, Slack for communication Trello for Task Management Google Docs for Documentation because these tools have not good integration with each other ( and also we need better task management system) we are looking for a tool that satisfy our requirements in best way Our requirements Documenation Task and Project Manager Communication We found some solutions Atlassian Family ( Jira + Hipchat + confluence ) Biritx24 Podio Exoplatform we are really getting confused what is best solution for us(we looking for a tool that provided all of requirements in one)? we are a company with several departments ( our jobs is around web) and at this time we have 15 users ( but we'll grow up) appreciate any help",NA,-,-,NA,1,1
3638,"Projects to teach university students project management What is a good project to teach university students project management principles? I tried one last semester, producing a video, but found it was too simple and the students did not have to work hard enough (and the network diagrams were too simple because there were too few tasks). The project needs to fit into a semester and should neither be too large or too small. It should not require any extensive technical knowledge (that is, no software development projects). Edit: Ideally, the project would require only skills that most never-employed 20 year olds would have. The project should ideally not require the students to spend any money (and the school is not going to give them any either). Edit 2: Ideally, the project would take a group of 4 people 1 to 2 hours per week (per person) for 13-14 weeks. Has anyone here had experience doing this?",NA,-,-,NA,1,1
833,"Can I break down a vertical story into horizontal tasks? My team and I are implementing Scrum in our project. We are at the phase of dividing user stories into tasks to assign to each developer. I understand the concept of Slicing the Cake where a user story represents a vertical slice that crosses all the technological layers (i.e starting from user interface to middleware to database). However, when I divide my vertical user story into tasks, it gets divided into horizontal layers. So I end up assigning a horizontal layer task for each developer: one developer would work on the user interface part of the story, another one on the middleware and a third on the database. Thus, in doing so, I feel I am breaking the concept of vertical slicing..",sco,-,-,p,1,1
4114,"How to schedule a team during a time of many holidays, on a project with a tight deadline? You are assigned a three month duration project at the end of the calendar year that has legal obligation of a finish by Jan 1. The schedule is very aggressive with higher odds missing that date than hitting it. The team is between 12 to 15 full-time staff. Since the schedule is very tight, holidays and vacations that occur at the end of the year present a threat. How would you approach scheduling the team during this time? The team, by the way, is made up of contractors, sellers of services versus internal employees assigned to a project. I know this is a bit of a polling question but I hope we can entertain it a bit. This is relevant to this time of the year, too!",sch,-,-,p,1,1
5122,"Perf.A(task X) >> Perf.B(task X), and Perf.A(task Y) > Perf.B(task Y) - whom do you assign? Ok, admittedly, that title is quite cryptic, but couldn't imagine any better short explanation. What I mean is the following: The (expected) performance / qualification of employee A is MUCH higher than that of employee B for a given task X. The (expected) performance / qualification of employee A is also higher than that of employee B for task Y, but the difference is not that big. In short, the general assumption (at least one that I have - may be discussed in another question), that 'everyone has his strengths and weaknesses' does not apply here, to the extend that A is considered to be more qualified / efficient in task completion than B. Based on which criteria do you decide whom you assign to task X, and whom to Y? Priority and importance of the according tasks? Even though this may sound a little to rational, do you think the concept of 'comparative advantage' may be applied here (disregarding the fact that true qualification is hard to be quantified)? Does your decision change if task Y is more important and of higher priority than task X?",sco,-,-,p,1,1
1991,"Should issues with individuals be called out in retrospectives? A developer has repeatedly shown an unwillingness to co-operate with the team in a few ways: being passive aggressive, sometimes not creating stories/tasks for the work he is actively doing, pessimistic and arguing about the way we point stories. This problem has been going on for months. He tends to over-engineer things. This developer is overall a nice guy. He is a strong, intelligent developer and a hard worker. IME, it's best to focus on the issues and not the people. I'm struggling with finding ways to point out the issues in this case without pointing at the person. I am the scrum master. I've been approached by another person on the team about at least some of these issues. Should I discuss these issues in retrospective or just pull the person aside and try to work it out between the two of us?",res,int,-,c,1,1
514,"Should activities before kick-off meeting be represented in a Schedule Plan I wonder if activities like contract and agreement reviews, meetings to discuss preliminary information, SOW review, and contract approved (as deliverable and milestone) should be included in a gantt chart in a specific task list/group to be presented to an external customer or we should start our planning after our contract has been approved and skip this detail in the gantt chart. I think that there are many different styles, contexts, and scenarios. I would like to know the general rule for these activities. Once you define your baseline, will you include the reviews to ammend the contract, tracking all the meetings with the client? In case you include all these activities, your start date for your project should be after contract approval, but gantt would make reference to date that we submitted our proposal.",sch,-,-,p,1,0
2733,"How to visualize changing priorities between different projects so each group of stakeholders could see the relative importance of “their” own? Current status: 30 open projects competing for a fixed pool of R&D resources and workers. Stakeholders from within the company spread among different areas of the company (Production, Tech Support, Sales, ...) but working on-site. A timely-reviewed road-map with the date in which each project starts (and the estimated time to completion). Possibility that some of the workforce or the resources of a project could be needed to solve a recently raised critical issue (e.g. problems in a client's plant). Each Project Manager deals with several projects at the same time. PMs meet weekly to share status update. Each Team deals with only one project at the same time, but some help from any individual member could be needed to solve an issue that prevents progress in some other project. I think having a system so everyone could visualize any time how ongoing projects are sorted based on priority for the company could: Help the PM and the team in making easier day to day decisions on how to prioritize. Help manage stakeholders expectations about what amount of progress can they expect, depending on the ""current ranking"" of their project. I can't count on each individual reviewing a software tool on her own, and I am looking for something easy to update and understand. What do I need to implement so I can help this visualization of relative priorities between projects?",sch,sco,-,m,1,1
920,"What type of estimation is applicable if work items can't be similarly sized because they will violate MMF As per Kanban, estimations are considered as waste but from the business perspective we need estimation and there is no way to keep features similarly sized. S, M, L sizing does not work as well because executives want to have duration estimates, some variance is acceptable (3 days for example). At this moment we use task count as buckets of durations: 0 task = less than a day of implementation duration. 1 task = 1-3 man-days of implementation duration. 2 task = 4-6 man-days of implementation duration. 3 task = 7-9 man-days of implementation duration. 4 task = 10-12 man-days of implementation duration. 5 task = 13-15 man-days of implementation duration. 6 task = 16-18 man-days of implementation duration. 7 task = 19-21 man-days of implementation duration. 8 task = 22-24 man-days of implementation duration. Cycle time is used based on buckets (task counts) and it works fine but I would like to easier the process as much as possible. Is there any suggestion to move towards better and easier estimation techniques?",sco,sch,-,p,1,1
2623,"Avoid to kill project without reducing scope Within a project, we develop an application. The project is set up as follows: The overall application is divided into four different ""level"". We completed one of those levels in four month. We use scrum with a one week sprints-duration incl. estimation of complexity. But we miss often our sprint goal and shift tasks to the next week. The project team consists of: One consultant and PM Three developers: Two are developing the back-end and one is developing the front-end part of the application One remote developer for front-end tasks There is also a subcontractor company for some tasks. Our plan for the close future is: Finish two other ""levels"" within one month (we working on one of these ""level"" for two months aleready). The focus shifted from back-end to front-end work (where we have just one developer, incuding one remote developer) We are aware that the schedule is quite tight What would be the best way to deal with this situation, taking the team constellation and the scheduling into account? I am thinking of switching to Kanban for the entire project, like here",sco,-,-,m,1,1
3900,"Project, Time, and Task Management software 1 person  As it currently stands, I have spend countless hours trying demos of the 100's of types of project and task management software out there, and none seem to fit the bill of exactly what I am looking to accomplish. I decided to turn here and see if anyone has come across something that might fit these requirements. Thank you in advance! Here's the situation Key items: 1 Man Show Various Short term and long term projects (from a few days to a few months) Multiple Clients/Departments (inside 1 organization) Various Small Tasks (15-min - 4-5 hours) Meetings In an ideal world, I would like to be able to plug in my weekly available hours and then put the task, or project in place and it's due date, along with what client it is assigned to. The main thing I am trying to accomplish is stop myself from saying ""I can have that done by ...."" Without knowing all the things on my plate also to visually see how all the little tasks and meetings throw off the bigger projects. I am a one man show and some of the things i need to get done have turned into who screams the loudest gets their stuff done first. For example, if I am ""Booked"" for the next 2-3-4 weeks, and someone comes to me and says This needs to be done by tomorrow, I need to know all the other projects and tasks that were effected so I can notify those people that they are getting ""Bumped"" by a time sensitive task or project that comes up. It would be nice at meetings to have the ability to show what caused it, and show what was worked on when and for who. Also to show how these smaller tasks effect the completion deadline of the bigger projects. So I guess something that throws a flag when there is a conflict. This will also be used to show over a long period of time that additional personal are needed. I have tried the following: I have found them to be way overkill and complicated, or lacking (tested 1-2 weeks) MS Project Toodleo Zoho Thank you for any and all input / suggestions you have!",sch,-,-,p,1,1
4558,"The right way to correct a new employee who accidently stepped on your toes I'm managing an upgrade project and I asked my assistant to do some preliminary research and come to me with some ideas on how to approach the project. This particular project affects a large number of people and has one significant stakeholder pushing for change. My assistant went ahead and interviewed this stakeholder and got a good idea on how to approach the problem, but doesn't know company policy (he's still new), and he came up with good ideas, but suggestions that will simply not work for this project. Here in lies the problem. My assistant (while I was away on holidays) went ahead and submitted his ideas as a formal proposal to the stakeholder. This person loves the ideas, but doesn't grasp the ramifications of them since this is a technical plan and he's not a technical person. How can I go ahead and correct and direct my assistant (not punish), and set things back on the right track to success? I'm fairly new to project management and employee management myself, so any advice will be hugely appreciated.",res,-,-,e,1,1
301,"Custom Column Calculation We use MS Project for work. I want to create a column that multiplies the cost of 'work' resources by 5% and 'cost' resources by 15% for each task line. In Excel I know I could use an 'ifs' statement (If it is 'work' than x 1.05, if it is 'cost' then x 1.15, if it is neither then do nothing) = ifs(A2=""work"", B2*1.05,A2=""cost"", B2*1.15,"""") I cannot figure out what I need to do in MS project. How do I create a calculation based on the type of resource - Do I need to make multiple columns and then sum them? or can I create a statement formula? this is the formula I am trying, but of course I am getting errors IIf([Resource Type]=""Work"",[Cost]*1.05,IIf([Resource Type]=""Cost"",[Cost]*1.15)) thanks",cost,-,-,p,0,-1
4274,"JIRA - generating work log reports We are using JIRA to manage our tasks and to allow our client to review the progress and decides what to do next. Our developers are logging their work pretty accurately. Ideally our workflow would be the following: Client asks for a new feature. We create a JIRA task, assign it to a free developer and do our time estimation and also evaluate how much per hour the client will pay (depends on complexity of the task and experience of the developers). After some period (a month, or maybe when the new stable version is released) the client gets our report of how many hours each developer has worked and how much the client has to pay. Problems: there is no ""payment for hour"" field for the task (this field should be visible only to project admins and the client). there is no plugin or feature, which could use the logged hours multiplied by hour rate for each task and generate a report since the date when the client did the last payment. Because of this, we did some parallel bookkeeping in Excel, but it just seems wrong and takes too much time. Is there any JIRA plug-in (or any application which uses JIRA database directly) that could help us with such reports?",sch,-,-,m,0,-1
5011,"What are good ways to stimulate and encourage yourself as Project Manager or Project Leader? I have the impression that people (including myself, I'm not going to be ignorant) have the nature of locking themselves up if they have an 'off day'. It's a lacking of inspiration, stimulation and encouragement to go on sometimes. Of course as a good PM or PL, you want to have the occurence of these periods as low as possible. As a PM or PL, people depend on your input and on your outcomes and if you slow down, probably the whole project slows down. How do you keep yourself motivated on days that you cannot find the drive to go for it 100%? What are your tricks to keep you fresh and motivated? For example: If I have a bad day (and it only happens once every few years) I oblige myself to go to one of my colleagues and ask for something. No mather what, even if it is how it's going with his work, I always come back a bit refreshed. Seeying other people work, often stimulates me to get back on track with my own job.",NA,-,-,NA,1,0
5151,"What is OEM-dependent consulting?   Is this a common term in consulting? Our prof mentiones this, but I can't find any definition in the inet.",NA,-,-,NA,1,0
1814,"I need practical tools or workshop tips to create product vision for an existing product I am familiar with the product vision but never used it so far since I joined once it was already done I have been appointed to a project where 2 existing products are overlapping and we need to set up an agile project to understand if is better to merge the products or seek and develop whatever other solution is better. I will be scrum master in this project and I have been asked to set up a sprint zero starting with a workshop for the stakeholders to create a product vision and product backlog. Does anyone have any practical suggestion how to structure a workshop to do that work? stakeholders are mainly managers, is it correct that they come up with the content of the product vision in the workshop?",NA,-,-,NA,1,1
31,MS Project : How to debug when “level all” freezes I have a project with sub-projects which have sub-projects. I'm sharing the resources from one other project file. I'm trying to level all the resources but MS Project freezes and it never ends. How could I debug that and find a way to solve the problem ?,sch,-,-,p,0,-1
4528,"CMMI and SCRUM related jobs I am an IT student and have been working on team-based projects for several years. I have read some papers about CMMI and SCRUM, and this is really interesting to me and I would like to know what kind of jobs involve improving processes inside an organization. What kind of studies can lead someone towards these jobs? Management? What's the idea? Management as a topic to be studied? And what other topics could be studied to lead to a job using such methodologies and frameworks?",NA,-,-,NA,1,0
5005,"How to maintain software requirements specification (SRS) for a small agile project? What are the best possible instruments/tools to maintain an SRS in a small agile project (up to 10 people)? How to keep this document(s) available to the entire team, to enable its baseline (and re-baseline), version control, etc. What is your recommendation according to industry experience?",sco,-,-,m,1,0
3879,PMP certification will it help MY career profile   I have work experience as a Analyst & Senior Analyst roles totalling 4 years and now in UK into IT recruitment and placements.. where we are going to deal with govt. projects shortly. Would it help me in my career if I do PMP certification. Please help.,NA,-,-,NA,0,-1
5071,"How should I get work from someone who “Talks a good game” but won't deliver? Background: I worked for an organisation that delivered services to a number of public sector clients, geographically dispersed. A series of security-related changes were required to allow one such client to comply with centrally-mandated security policies. Most of these changes were not technically demanding, but the volume was very high. The senior manager on site was a technical manager who reported into a different leg of the organisation from me. There is no question about his technical skills or knowledge of what had to be done, but he was recognised as being a big personality who had his own agenda and his own views on the importance of this work. The technical manager knew more about the client than I did, and because he was based on site there, had a strong personal relationship with client staff. I was based elsewhere, and had been parachuted in to create and run a project to deliver the things that this technical manager had failed to deliver in the past. His ""reason"" for failure to deliver in the past was that he could not be expected to both manage the technology and run the project - hence my involvement. Situation: I established the project, created the WBS, got the technical manager's agreement to the plans, presented the plans to the client, and started to push out work packages, which the technical manager accepted. He then failed to deliver any of the work within timescales, and, worse than that, started to undermine me in meetings with the client, saying that his estimates had been misinterpreted, and the client expectations were unreasonable. Given his personal relationship with the client, he was able to persuade the client that he was right, and he effectively hung me out to dry . His line manager would not intervene at this stage. I ended up delivering an incomplete project late, and finally got the technical manager's line manager to step in to support me, and we did enough to allow the client to pass the security review - but no-one ended up happy. Question: What could / should I have done?",res,-,-,e,1,1
205,"Sprint Review: How to prevent every single type of story from being “reviewed” The team decided to make every work item into a sprint story. This means that along with development stories that result in a product increment, a sprint also contains stories for integration testing, user acceptance testing and research/pre-development work. Sprint reviews are scheduled at the end of each sprint. So far, stakeholders have not been available, but the PO and the Division director attends. Every completed story is reviewed/demonstrated. This has resulted in reviews with full agendas such that there is no time to actually inspect the product increment. We are shown charts, spreadsheets and word documents. I asked my manager (Dev manager and PO) that we limit review items to those that result in product increment. But I was told that will mean only developers get to review the stories, non-developers will feel left out and since Agile is about people over processes, every one who completes a story will review/demo it. What argument can I make to convince management to limit the reviews to just the product increment? Or am I wrong to do so?",sco,int,-,p,1,1
2532,"How to create an organised association that is project oriented? A group of youngsters (age average of 20 years) would like to establish an organisation that makes projects into reality. The question would be: What kind of structure would be the best to manage this organisation of about 32 people with different talents and specialties varying from Tech to Management? I'd like examples of professional organizations that are project oriented and handles a lot of projects at the same time. I'd like our organization to be able to adapt to changes in the social scene in addition to changes in our economic state. I would also like to know a way to get us heavy sponsors? I'd like to know everything there is to build a project team and how to maintain it including the tasks of every member of the team, etc.",int,-,-,p,1,1
4070,"Rent total cost prediction I have a project management course now. One of points of my project requires me to rent a territory, and I need to include its cost in the project's total cost. The first thing I thought was to count project's total time and multiply it by monthly rent ($6000). But the professor says the project may crash before finishing, so I can not allocate so much money from the start of the project, and there should be another way. What is the right solution for this problem? How can I predict total cost of renting?",cost,-,-,p,1,1
2976,How to add recurring task in MS Project server 2013? I have MS Project server 2013 and I have created one PWA and now I want to create a recurring task. Can anyone tell me how can I create recurring task in a MS Project server 2013 web app?,sch,-,-,p,0,-1
